Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
Puleo_array_PANC189	0.06172632040346013	0.00000000000000000	0.05078495697129094	0.14674617208950064	0.00000000000000000	0.10511977802654186	0.00000000000000000	0.00000000000000000	0.12373042182890039	0.00000000000000000	0.00000000000000000	0.08251181105661422	0.08740593889341089	0.11746520097819611	0.06688513434227567	0.07190471655709162	0.01242646571729624	0.02365715294325500	0.04963593019216637	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.72904997606572230	0.75224848259318833
Puleo_array_PANC168	0.05282699429596936	0.00000000000000000	0.14710106688974819	0.19386765331177158	0.00000000000000000	0.02453410077888766	0.00182102251470117	0.02001116230441893	0.06931004150086335	0.00000000000000000	0.00000000000000000	0.15589789205911975	0.09003230256201342	0.07920206663889237	0.03076269974132723	0.04129080894894525	0.01235855819382379	0.00607029026329243	0.05921056238288624	0.00000000000000000	0.00101036427221276	0.01469241334112655	0.00200000000000000	0.55315906682140836	0.83685946781471132
Puleo_array_PANC78	0.15647080843134289	0.00000000000000000	0.11184288322416863	0.10455729966557753	0.00000000000000000	0.15076053400819900	0.00000000000000000	0.00818782057810043	0.06009252486681409	0.00000000000000000	0.00000000000000000	0.10097327205912963	0.04872044993193041	0.13341756910397978	0.04731140786284069	0.03429603037502679	0.00000000000000000	0.00000000000000000	0.01397818528568270	0.02596630720737892	0.00342490739982844	0.00000000000000000	0.00000000000000000	0.69593468425452298	0.75369843466624875
Puleo_array_PANC324	0.11117705153151029	0.00000000000000000	0.05406113701215724	0.12305975111124728	0.00000000000000000	0.14628171109253241	0.00101403967231778	0.00000000000000000	0.10268425796621682	0.00000000000000000	0.00262991937266321	0.04400599895103859	0.10785341022570970	0.04813516734182756	0.02104434078644402	0.07934327263629497	0.02430337306673470	0.00494932783020128	0.12538355262078618	0.00000000000000000	0.00000000000000000	0.00407368878231771	0.00000000000000000	0.70526994193849013	0.77309918310656134
Puleo_array_PANC63	0.07688681185786937	0.00000000000000000	0.05379629961837076	0.13338394009213370	0.00000000000000000	0.03466269088146520	0.00000000000000000	0.00587330839489134	0.11420304650890012	0.00000000000000000	0.00000000000000000	0.10313984168585141	0.14324871226365046	0.08907726139644738	0.00787916510342676	0.08479887891117570	0.01464438753061555	0.00842529103384334	0.12998036472135885	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.65994567913591251	0.79556880200899127
Puleo_array_PANC70	0.12308545731216955	0.00000000000000000	0.07441703363822749	0.16319008552757944	0.00000000000000000	0.10848454120024298	0.00000000000000000	0.00000000000000000	0.10292297522435731	0.00000000000000000	0.01755547560407737	0.03299732094896031	0.08129453451826403	0.06653279189162990	0.04352779314334691	0.03727814679121590	0.02496779005113997	0.03130645648838948	0.09243959766039934	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.63906034984467308	0.80082029240948382
Puleo_array_PANC184	0.09112258826047374	0.00000000000000000	0.09419979424620308	0.21113990564151178	0.00000000000000000	0.08589869748543051	0.00000000000000000	0.00000000000000000	0.11235824126498789	0.00000000000000000	0.00000000000000000	0.08238042787472753	0.07191415262300747	0.10422029586438743	0.02943189764396666	0.07450965644464903	0.00302003041582651	0.00699657319460998	0.02898347615971078	0.00000000000000000	0.00000000000000000	0.00382426288050755	0.00000000000000000	0.58503127318978743	0.82202761545324532
Puleo_array_PANC19	0.10985469238237296	0.00000000000000000	0.04605213905650535	0.13313639301340666	0.00000000000000000	0.14273072369670678	0.00926976602444180	0.00000000000000000	0.10542825682875638	0.00000000000000000	0.00000000000000000	0.08431050387389619	0.23091282816171393	0.02391411797784895	0.00000000000000000	0.01888794451283487	0.00513323249078270	0.03464638809064348	0.02325081811715851	0.03247219577293166	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.74807612356463193	0.73406928251375247
Puleo_array_PANC251	0.09919627304233411	0.00000000000000000	0.04921642408677033	0.12669455416322295	0.00000000000000000	0.15698257613051875	0.00000000000000000	0.00000000000000000	0.09571187897592671	0.00000000000000000	0.00000000000000000	0.03747470498941854	0.07743801305874345	0.12139563771600367	0.02155527746688799	0.08098268952124021	0.00901826200495150	0.06851873697407307	0.04231056539029486	0.01302004665032608	0.00048435982928782	0.00000000000000000	0.00000000000000000	0.68160269452740763	0.78147666095540014
Puleo_array_PANC144	0.11620040333998397	0.00000000000000000	0.05568695268421065	0.08334717870266936	0.00000000000000000	0.12752462391117231	0.00000000000000000	0.00000000000000000	0.09181483416242253	0.00000000000000000	0.00000000000000000	0.04407449427437685	0.10110407641007264	0.14847783369064987	0.01626185814812158	0.03726149864013527	0.04087466600724626	0.02643653810609597	0.10280832184984486	0.00000000000000000	0.00329624832844042	0.00483047174455735	0.00000000000000000	0.72876460805806687	0.76323121615994671
