Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
CPTAC_C3L-03394	0.10969515329978717	0.00000000000000000	0.00009855181438100	0.01814304773734380	0.08192281078816305	0.39116166153983706	0.02708609412410426	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00690394019743693	0.00000000000000000	0.06808884021055242	0.01462152158506111	0.01415716182715408	0.13301775308604383	0.00000000000000000	0.04155481286511017	0.07999037360142888	0.00000000000000000	0.01355827732359618	0.00000000000000000	0.00200000000000000	0.74623720429089946	0.73846104844048155
CPTAC_C3N-03428	0.12515371946159573	0.04544354808005609	0.00000000000000000	0.02484156244475716	0.03415679542246828	0.34416539452821726	0.02867460932891062	0.00238228820992269	0.00000000000000000	0.01621005159295246	0.02229775188725003	0.00000000000000000	0.02791013329059953	0.09627776217088313	0.04841438300099792	0.10406406558440684	0.01637953558870246	0.03561855068007330	0.02589641045957401	0.00000000000000000	0.00211343826863237	0.00000000000000000	0.00200000000000000	0.85181037685402672	0.67728220668721828
CPTAC_C3L-02112	0.07800245380283241	0.00000000000000000	0.01492150265226787	0.05504245361922437	0.00000000000000000	0.30933587775838917	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01537275849450332	0.00000000000000000	0.06861820804715997	0.09615413516670328	0.02136299112177454	0.17004338611899064	0.03521890994394365	0.01367636613090002	0.12105509377041154	0.00000000000000000	0.00000000000000000	0.00119586337289927	0.00200000000000000	0.83390949622383304	0.70465783587551378
CPTAC_C3N-01719	0.04778132925555696	0.00000000000000000	0.02288004379223349	0.02357858188828672	0.00000000000000000	0.37717770669680506	0.02776901869631463	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03892884367337918	0.00000000000000000	0.06309504924013991	0.07720758778604148	0.07966559299174432	0.15088835883967464	0.00000000000000000	0.01360488480097242	0.03722701914601246	0.00000000000000000	0.01835546675907248	0.02184051643376623	0.00200000000000000	0.72462855859779496	0.75448645025089234
CPTAC_C3N-03670	0.06323547861493428	0.00000000000000000	0.01311842977828633	0.02837396721466693	0.07062100644852967	0.27482930526866528	0.01507366719392687	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03009045511292142	0.00000000000000000	0.04916804573400731	0.06654525707292573	0.02023802450494909	0.20882075433148628	0.01412625794746217	0.04113829870353321	0.09429126041058668	0.00000000000000000	0.00000000000000000	0.01032979166311853	0.00200000000000000	0.80237858228679659	0.72139387360990681
CPTAC_C3N-02998	0.02795995551926015	0.00929003721399504	0.00384535868368195	0.05878175354718290	0.00000000000000000	0.43324662611753340	0.02393540434188227	0.01888040056766634	0.00000000000000000	0.02132988135460696	0.02316506017395531	0.00000000000000000	0.05152073282790472	0.02055515572327314	0.11469200432540815	0.16695975746883551	0.00189717729704916	0.00000917566735033	0.01045420065835619	0.00000000000000000	0.01185875145130618	0.00161856706075236	0.00200000000000000	0.81182196574343046	0.67609875108259421
CPTAC_C3N-03211	0.04905986398783820	0.00000000000000000	0.06727517339503140	0.00000000000000000	0.00000000000000000	0.48634301210663006	0.00129564810108987	0.00000000000000000	0.00000000000000000	0.00171060296426346	0.01233865744640787	0.00000000000000000	0.02597525701662771	0.00849816880504811	0.03690731670879720	0.23147501912050167	0.00000000000000000	0.01092734661004879	0.05051151920380290	0.00000000000000000	0.00575165338251438	0.01193076115139838	0.00200000000000000	0.58338791883582586	0.82684628430470408
CPTAC_C3L-01052	0.02887902402885466	0.00505689907500395	0.00092992512828590	0.02768638165334223	0.00000000000000000	0.35740397489876996	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04373180947721404	0.00000000000000000	0.01951511784907867	0.10546230474495195	0.02877728847470168	0.24385801648220903	0.00393136280257168	0.03676381761196314	0.05960303904140304	0.00000000000000000	0.00000000000000000	0.03840103873165001	0.00200000000000000	0.72060748327103252	0.75202780860424912
CPTAC_C3N-00512	0.02128608933739303	0.03196907806362070	0.03628454519142262	0.02549719902860189	0.00000000000000000	0.39634123774820368	0.00000000000000000	0.00132987148906367	0.00000000000000000	0.00000000000000000	0.03409794920622292	0.00000000000000000	0.06334445220666618	0.04229698327623375	0.03124738791873406	0.20798249118772316	0.00865716341157759	0.01826953055641501	0.08139602137812182	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00200000000000000	0.79831046076557421	0.71874715185473337
CPTAC_C3N-02295	0.01085308642337676	0.00000000000000000	0.02684561530165543	0.02917617801161921	0.00000000000000000	0.38906587704892764	0.00608929410893262	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03707604719111654	0.00000000000000000	0.07517498555895019	0.02246910616202140	0.03621399488420490	0.23422675904698659	0.00287560902429172	0.01869821082881660	0.09071691691121335	0.00000000000000000	0.02051831949788695	0.00000000000000000	0.00200000000000000	0.75488251997448186	0.74104414376688665
CPTAC_C3N-01012	0.00615170719112268	0.00000000000000000	0.00485093451560760	0.01811859707000337	0.00000000000000000	0.40388088725935883	0.01059751580745920	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03074888255993122	0.00000000000000000	0.07062013672760871	0.05771407690258062	0.01501526676754445	0.16419580838361189	0.05333221166182026	0.04270928533044244	0.12180635242594726	0.00000000000000000	0.00000000000000000	0.00025833739696152	0.00200000000000000	0.74191225377703174	0.74870514617469264
CPTAC_C3N-01502	0.04293042602067278	0.00862402778499903	0.02550909621599423	0.01541830198627507	0.00000000000000000	0.31954320263181885	0.00362489037328967	0.00324581418071836	0.00000000000000000	0.00000000000000000	0.01068715865232815	0.00668830772178344	0.02767513827264945	0.13140370390103301	0.02343190209147393	0.21720466187747189	0.00000000000000000	0.04377034322725432	0.06483550058131372	0.00000000000000000	0.00000000000000000	0.05540752448092406	0.00200000000000000	0.70219018505363373	0.76700010357973802
CPTAC_C3L-01053	0.00000000000000000	0.00000000000000000	0.03438918012459834	0.03267021165808544	0.00000000000000000	0.33978758735928016	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.07552172157967051	0.00000000000000000	0.04987728927643992	0.11355310459295979	0.03852373788920995	0.17804902348263915	0.02850754766997697	0.01753924087089355	0.07067147089807435	0.00000000000000000	0.00000000000000000	0.02090988459817172	0.00200000000000000	0.71233828538915878	0.76219927577125235
CPTAC_C3L-03632	0.00542045831408131	0.00000000000000000	0.01023679294388403	0.02509746095621359	0.00000000000000000	0.45274310300371157	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04384045401574894	0.00000000000000000	0.04492928477391292	0.04762897545330391	0.03514228370978001	0.18539132096458555	0.02609881562054215	0.01927562460330578	0.09970855510214827	0.00000000000000000	0.00448687053878186	0.00000000000000000	0.00200000000000000	0.67249163660432165	0.77903787290830750
CPTAC_C3L-00401	0.00414850613916540	0.00000000000000000	0.02285192969743716	0.00000000000000000	0.00000000000000000	0.40999738914467326	0.00034660154348750	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02584811875721975	0.00000000000000000	0.01524681946793298	0.15414074302336367	0.02610406103639089	0.18443724422872107	0.01890186361624732	0.04313115652974330	0.03448337923778654	0.00715091139279266	0.01445205022978170	0.03875922595525677	0.00200000000000000	0.78362674410539790	0.71119788227021496
CPTAC_C3L-01054	0.00565456773882360	0.00000000000000000	0.03620972563460566	0.00000000000000000	0.00000000000000000	0.36278575635767646	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03859315539051837	0.00000000000000000	0.01251244686392743	0.09502690222735168	0.01256870959057927	0.30288823947926197	0.02378559192126688	0.02696679040219762	0.07143221992019540	0.00000000000000000	0.00499238985449724	0.00658350461909837	0.00200000000000000	0.68920777168375458	0.77125377799734274
CPTAC_C3N-00517	0.00884069536860251	0.00000000000000000	0.01784059083613466	0.03908658649900056	0.00000000000000000	0.31678790664086565	0.00000000000000000	0.03260483948221769	0.00000000000000000	0.00000000000000000	0.00764944719676730	0.00896320973753570	0.05326509193040722	0.06473700557047024	0.04185353597793109	0.26854342008619453	0.03089791497278615	0.02810794698387585	0.05094055570827428	0.00000000000000000	0.02988125300893660	0.00000000000000000	0.00200000000000000	0.76405567822679676	0.73318373672269777
CPTAC_C3N-03440	0.01558949698609744	0.00000000000000000	0.01993647323713817	0.00000000000000000	0.00000000000000000	0.30845837895679251	0.00462891850779072	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03381002359795645	0.00000000000000000	0.03759888174446516	0.10311268759748839	0.00968065619744793	0.27502085152763101	0.03392566362209126	0.03758486415460826	0.07771313082939248	0.00000000000000000	0.01350234700985818	0.02943762603124215	0.00200000000000000	0.69792719693737604	0.76983257345974088
