Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
Grunwald_PCSI_0019_Pa_T_5265	0.02258721352633607	0.00000000000000000	0.00223093721013236	0.08457418606993702	0.00000000000000000	0.27541307668492571	0.05967382728981878	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01625020984906411	0.02434508889038725	0.02905696145163716	0.06621089511439963	0.01015107903094691	0.15205000256938364	0.04897074257444402	0.06923037732965198	0.12050107929538213	0.00083696788863150	0.01425689887803457	0.00366045634688713	0.00000000000000000	0.76961119602743111	0.73975821189842461
Grunwald_PCSI_0073_Pa_T_5265	0.01894369708224122	0.00000000000000000	0.00132203008049846	0.05936643537079086	0.01015378515019223	0.20489280081299271	0.03984152995578345	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00632619210892498	0.02460718086822047	0.01875014447419255	0.17826664612624293	0.00811129298816411	0.26082923935356533	0.00590177800413882	0.01334324134331829	0.02646062982637668	0.08897163052016752	0.01763976758230485	0.01627197835188463	0.00000000000000000	0.84726225840469160	0.65931986671993481
Grunwald_PCSI_0074_Pa_T_5265	0.00700112513098611	0.00046467436881989	0.00208637248205465	0.04513814667806599	0.00000000000000000	0.28046558475084971	0.00444734676106311	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01017373428101873	0.01159407641070444	0.10230837221859153	0.12176480508147484	0.00000000000000000	0.20668277630969886	0.01320293315156335	0.04551448725408872	0.11809243352195511	0.00000000000000000	0.02927708862921125	0.00178604296985362	0.00000000000000000	0.72686830311963024	0.75577595538885289
Grunwald_PCSI_0081_Pa_T_5265	0.00627517331355647	0.00000000000000000	0.00087879211732956	0.05850289051897089	0.00000000000000000	0.26264243053452491	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04858532768424653	0.01322797907855817	0.15654117892268571	0.00191699424252677	0.23047513449898174	0.02369777129791695	0.02315392753180338	0.06183521278105057	0.04722986355252751	0.05456609653737150	0.01047122738794945	0.00000000000000000	0.79544928804609993	0.70115747909277604
Grunwald_PCSI_0104_Pa_T_5265	0.00430979991902345	0.00101998493705224	0.01751112425666556	0.09065294708631463	0.00000000000000000	0.40877372441959736	0.05525242520962214	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01100567241648981	0.01263856926201694	0.05428836512962713	0.03263671603539324	0.00235823584764119	0.14166418643293432	0.00790393162698854	0.04992690505034241	0.02315007667458917	0.04897262005722220	0.03490770846618119	0.00302700717229854	0.00000000000000000	0.73876125178132335	0.73880057397636267
Grunwald_PCSI_0106_Pa_T_5265	0.00240031841451839	0.00570518224009720	0.00426525050562772	0.07000562232198904	0.00000000000000000	0.33638412470084289	0.02167881828319485	0.00000000000000000	0.00078928994198079	0.00000000000000000	0.00022406467583545	0.02214597480025168	0.09631822307465950	0.02581708278353445	0.00000000000000000	0.19831369297300550	0.08126297584831690	0.04146378823563101	0.09020271158121576	0.00302287961929917	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.71114285779484521	0.76668484768662193
Grunwald_PCSI_0107_Pa_T_5265	0.00120196917916204	0.03909768005272824	0.00896614965903168	0.02926657267231214	0.05052123980072032	0.23308611910091903	0.07488012448580136	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01092656530469081	0.00000000000000000	0.00789325073950217	0.11866289057856992	0.00000000000000000	0.22938600708749524	0.06744601038713363	0.05378928280459697	0.06026619884477560	0.00074808998276124	0.00970642095752068	0.00415542836227884	0.00000000000000000	0.79624604691602618	0.72251242390595150
Grunwald_PCSI_0108_Pa_T_5265	0.01342791158338045	0.00419179674035236	0.00005613992311024	0.05945615017894743	0.00000000000000000	0.45293790106564596	0.03416442644987609	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01597143371468793	0.00344806542847446	0.04623019709295360	0.04436264411795672	0.00529464373121407	0.19612655636640347	0.00769952612315573	0.01284763096710190	0.08930495448460295	0.00000000000000000	0.00931000991478693	0.00517001211734979	0.00000000000000000	0.72669366010500835	0.74471313802872063
Grunwald_PCSI_0171_Pa_T_5265	0.00125390147755852	0.00370669609606049	0.00068140099872794	0.04757135183918462	0.00000000000000000	0.26398815638069206	0.01057673921039348	0.00000000000000000	0.00084908456381922	0.00000000000000000	0.00000000000000000	0.01127211295169342	0.07642181265894911	0.21741445926025471	0.00330678330986555	0.18783227158156907	0.00507311871597773	0.02138683584747750	0.09373159046996908	0.00000000000000000	0.05493368463780741	0.00000000000000000	0.00000000000000000	0.69515620948398327	0.76282460365009008
Grunwald_PCSI_0175_Pa_T_5265	0.01437107008636436	0.00000000000000000	0.00000000000000000	0.05290316974111645	0.00129240470290009	0.23726752400405443	0.03090414289339521	0.00000000000000000	0.01528712336009671	0.00000000000000000	0.01674592957332740	0.01278081368471621	0.05506578404007618	0.12069595940334216	0.01710962711084631	0.23930975715460978	0.01923248394975594	0.02095689837965149	0.09355081466296170	0.01803001289187075	0.03324878074906683	0.00124770361184806	0.00000000000000000	0.65726191185011851	0.79257640081615144
